"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean__MAX"
"0.5988023952095808","1309","1309","1309","0.7999999940395355","0.7999999940395355","0.7999999940395355","","","","","","","","","","","","","","","","","","","1309","1309","1309","0.8833333373069763","0.8833333373069763","0.8833333373069763","","","","","","","","","","","","","","","","","",""
"0.6","","","","","","","1964","1964","1964","0.8625","0.8625","0.8625","3929","3929","3929","0.25","0.25","0.25","3929","3929","3929","0.85","0.85","0.85","","","","","","","1964","1964","1964","0.825","0.825","0.825","3929","3929","3929","0.9","0.9","0.9","3929","3929","3929","0.125","0.125","0.125"
"0.62","","","","","","","","","","","","","4060","4060","4060","0.15","0.15","0.15","4060","4060","4060","0.95","0.95","0.95","","","","","","","","","","","","","4060","4060","4060","1","1","1","4060","4060","4060","0.075","0.075","0.075"
"0.64","","","","","","","2095","2095","2095","0.9375","0.9375","0.9375","4191","4191","4191","0.3","0.3","0.3","4191","4191","4191","0.9","0.9","0.9","","","","","","","2095","2095","2095","0.9125","0.9125","0.9125","4191","4191","4191","0.825","0.825","0.825","4191","4191","4191","0.175","0.175","0.175"
"0.6586826347305389","1440","1440","1440","0.9083333373069763","0.9083333373069763","0.9083333373069763","","","","","","","","","","","","","","","","","","","1440","1440","1440","0.9416666686534881","0.9416666686534881","0.9416666686534881","","","","","","","","","","","","","","","","","",""
"0.66","","","","","","","","","","","","","4322","4322","4322","0.45","0.45","0.45","4322","4322","4322","0.9","0.9","0.9","","","","","","","","","","","","","4322","4322","4322","0.85","0.85","0.85","4322","4322","4322","0.225","0.225","0.225"
"0.68","","","","","","","2226","2226","2226","0.875","0.875","0.875","4453","4453","4453","0.7","0.7","0.7","4453","4453","4453","0.95","0.95","0.95","","","","","","","2226","2226","2226","0.9","0.9","0.9","4453","4453","4453","0.975","0.975","0.975","4453","4453","4453","0.45","0.45","0.45"
"0.7","","","","","","","","","","","","","4584","4584","4584","0.65","0.65","0.65","4584","4584","4584","0.95","0.95","0.95","","","","","","","","","","","","","4584","4584","4584","0.9","0.9","0.9","4584","4584","4584","0.3","0.3","0.3"
"0.718562874251497","1571","1571","1571","0.8750000059604645","0.8750000059604645","0.8750000059604645","","","","","","","","","","","","","","","","","","","1571","1571","1571","0.9583333313465119","0.9583333313465119","0.9583333313465119","","","","","","","","","","","","","","","","","",""
"0.72","","","","","","","2357","2357","2357","0.9","0.9","0.9","4715","4715","4715","0.55","0.55","0.55","4715","4715","4715","0.95","0.95","0.95","","","","","","","2357","2357","2357","0.8875","0.8875","0.8875","4715","4715","4715","0.875","0.875","0.875","4715","4715","4715","0.275","0.275","0.275"
"0.74","","","","","","","","","","","","","4846","4846","4846","0.6","0.6","0.6","4846","4846","4846","0.85","0.85","0.85","","","","","","","","","","","","","4846","4846","4846","0.9","0.9","0.9","4846","4846","4846","0.45","0.45","0.45"
"0.76","","","","","","","2488","2488","2488","0.8625","0.8625","0.8625","4977","4977","4977","0.725","0.725","0.725","4977","4977","4977","0.95","0.95","0.95","","","","","","","2488","2488","2488","0.9375","0.9375","0.9375","4977","4977","4977","1","1","1","4977","4977","4977","0.55","0.55","0.55"
"0.7784431137724551","1702","1702","1702","0.9250000059604645","0.9250000059604645","0.9250000059604645","","","","","","","","","","","","","","","","","","","1702","1702","1702","0.9583333373069763","0.9583333373069763","0.9583333373069763","","","","","","","","","","","","","","","","","",""
"0.78","","","","","","","","","","","","","5108","5108","5108","0.625","0.625","0.625","5108","5108","5108","0.925","0.925","0.925","","","","","","","","","","","","","5108","5108","5108","0.95","0.95","0.95","5108","5108","5108","0.5","0.5","0.5"
"0.8","","","","","","","2619","2619","2619","0.9375","0.9375","0.9375","5239","5239","5239","0.8","0.8","0.8","5239","5239","5239","0.95","0.95","0.95","","","","","","","2619","2619","2619","0.975","0.975","0.975","5239","5239","5239","0.975","0.975","0.975","5239","5239","5239","0.675","0.675","0.675"
"0.82","","","","","","","","","","","","","5370","5370","5370","0.7","0.7","0.7","5370","5370","5370","0.75","0.75","0.75","","","","","","","","","","","","","5370","5370","5370","0.875","0.875","0.875","5370","5370","5370","0.525","0.525","0.525"
"0.8383233532934131","1833","1833","1833","0.9250000059604645","0.9250000059604645","0.9250000059604645","","","","","","","","","","","","","","","","","","","1833","1833","1833","0.9333333373069763","0.9333333373069763","0.9333333373069763","","","","","","","","","","","","","","","","","",""
"0.84","","","","","","","2750","2750","2750","0.9","0.9","0.9","5501","5501","5501","0.675","0.675","0.675","5501","5501","5501","0.925","0.925","0.925","","","","","","","2750","2750","2750","0.8875","0.8875","0.8875","5501","5501","5501","0.975","0.975","0.975","5501","5501","5501","0.475","0.475","0.475"
