"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean__MAX"
"0.62","","","","","","","","","","","","","4060","4060","4060","0","0","0","4060","4060","4060","0","0","0","","","","","","","","","","","","","4060","4060","4060","0","0","0","4060","4060","4060","0","0","0"
"0.64","","","","","","","2095","2095","2095","0.05","0.05","0.05","4191","4191","4191","0.05","0.05","0.05","4191","4191","4191","0.05","0.05","0.05","","","","","","","2095","2095","2095","0.075","0.075","0.075","4191","4191","4191","0.1","0.1","0.1","4191","4191","4191","0","0","0"
"0.6586826347305389","1440","1440","1440","0.05833333432674408","0.05833333432674408","0.05833333432674408","","","","","","","","","","","","","","","","","","","1440","1440","1440","0.05000000074505806","0.05000000074505806","0.05000000074505806","","","","","","","","","","","","","","","","","",""
"0.66","","","","","","","","","","","","","4322","4322","4322","0","0","0","4322","4322","4322","0.05","0.05","0.05","","","","","","","","","","","","","4322","4322","4322","0.1","0.1","0.1","4322","4322","4322","0","0","0"
"0.68","","","","","","","2226","2226","2226","0.1","0.1","0.1","4453","4453","4453","0","0","0","4453","4453","4453","0","0","0","","","","","","","2226","2226","2226","0.0875","0.0875","0.0875","4453","4453","4453","0","0","0","4453","4453","4453","0","0","0"
"0.7","","","","","","","","","","","","","4584","4584","4584","0","0","0","4584","4584","4584","0.05","0.05","0.05","","","","","","","","","","","","","4584","4584","4584","0.1","0.1","0.1","4584","4584","4584","0.025","0.025","0.025"
"0.718562874251497","1571","1571","1571","0.09166666939854622","0.09166666939854622","0.09166666939854622","","","","","","","","","","","","","","","","","","","1571","1571","1571","0.03333333432674408","0.03333333432674408","0.03333333432674408","","","","","","","","","","","","","","","","","",""
"0.72","","","","","","","2357","2357","2357","0.1","0.1","0.1","4715","4715","4715","0","0","0","4715","4715","4715","0.025","0.025","0.025","","","","","","","2357","2357","2357","0.1","0.1","0.1","4715","4715","4715","0.1","0.1","0.1","4715","4715","4715","0","0","0"
"0.74","","","","","","","","","","","","","4846","4846","4846","0.075","0.075","0.075","4846","4846","4846","0.1","0.1","0.1","","","","","","","","","","","","","4846","4846","4846","0.1","0.1","0.1","4846","4846","4846","0.075","0.075","0.075"
"0.76","","","","","","","2488","2488","2488","0.1125","0.1125","0.1125","4977","4977","4977","0","0","0","4977","4977","4977","0.025","0.025","0.025","","","","","","","2488","2488","2488","0.0625","0.0625","0.0625","4977","4977","4977","0","0","0","4977","4977","4977","0","0","0"
"0.7784431137724551","1702","1702","1702","0.05833333507180214","0.05833333507180214","0.05833333507180214","","","","","","","","","","","","","","","","","","","1702","1702","1702","0.02500000074505806","0.02500000074505806","0.02500000074505806","","","","","","","","","","","","","","","","","",""
"0.78","","","","","","","","","","","","","5108","5108","5108","0","0","0","5108","5108","5108","0.025","0.025","0.025","","","","","","","","","","","","","5108","5108","5108","0.05","0.05","0.05","5108","5108","5108","0","0","0"
"0.8","","","","","","","2619","2619","2619","0.0375","0.0375","0.0375","5239","5239","5239","0.025","0.025","0.025","5239","5239","5239","0.025","0.025","0.025","","","","","","","2619","2619","2619","0.025","0.025","0.025","5239","5239","5239","0","0","0","5239","5239","5239","0.075","0.075","0.075"
"0.82","","","","","","","","","","","","","5370","5370","5370","0.075","0.075","0.075","5370","5370","5370","0.2","0.2","0.2","","","","","","","","","","","","","5370","5370","5370","0.125","0.125","0.125","5370","5370","5370","0.125","0.125","0.125"
"0.8383233532934131","1833","1833","1833","0.0666666679084301","0.0666666679084301","0.0666666679084301","","","","","","","","","","","","","","","","","","","1833","1833","1833","0.05000000149011612","0.05000000149011612","0.05000000149011612","","","","","","","","","","","","","","","","","",""
"0.84","","","","","","","2750","2750","2750","0.1","0.1","0.1","5501","5501","5501","0","0","0","5501","5501","5501","0","0","0","","","","","","","2750","2750","2750","0.1","0.1","0.1","5501","5501","5501","0","0","0","5501","5501","5501","0","0","0"
"0.86","","","","","","","","","","","","","5632","5632","5632","0","0","0","5632","5632","5632","0.075","0.075","0.075","","","","","","","","","","","","","5632","5632","5632","0.05","0.05","0.05","5632","5632","5632","0","0","0"
"0.88","","","","","","","2881","2881","2881","0.0875","0.0875","0.0875","5763","5763","5763","0","0","0","5763","5763","5763","0.025","0.025","0.025","","","","","","","2881","2881","2881","0.05","0.05","0.05","5763","5763","5763","0","0","0","5763","5763","5763","0","0","0"
"0.8982035928143712","1964","1964","1964","0.08333333507180214","0.08333333507180214","0.08333333507180214","","","","","","","","","","","","","","","","","","","1964","1964","1964","0.05000000149011612","0.05000000149011612","0.05000000149011612","","","","","","","","","","","","","","","","","",""
"0.9","","","","","","","","","","","","","5894","5894","5894","0","0","0","5894","5894","5894","0","0","0","","","","","","","","","","","","","5894","5894","5894","0.05","0.05","0.05","5894","5894","5894","0","0","0"
"0.92","","","","","","","3012","3012","3012","0.025","0.025","0.025","6025","6025","6025","0","0","0","6025","6025","6025","0","0","0","","","","","","","3012","3012","3012","0.05","0.05","0.05","6025","6025","6025","0","0","0","6025","6025","6025","0","0","0"
"0.94","","","","","","","","","","","","","6156","6156","6156","0","0","0","6156","6156","6156","0.1","0.1","0.1","","","","","","","","","","","","","6156","6156","6156","0.025","0.025","0.025","6156","6156","6156","0","0","0"
"0.9580838323353293","2095","2095","2095","0.08333333358168601","0.08333333358168601","0.08333333358168601","","","","","","","","","","","","","","","","","","","2095","2095","2095","0.05000000074505806","0.05000000074505806","0.05000000074505806","","","","","","","","","","","","","","","","","",""
"0.96","","","","","","","3143","3143","3143","0.1625","0.1625","0.1625","6287","6287","6287","0","0","0","6287","6287","6287","0.1","0.1","0.1","","","","","","","3143","3143","3143","0.1125","0.1125","0.1125","6287","6287","6287","0.075","0.075","0.075","6287","6287","6287","0","0","0"
"0.98","","","","","","","","","","","","","6418","6418","6418","0","0","0","6418","6418","6418","0","0","0","","","","","","","","","","","","","6418","6418","6418","0","0","0","6418","6418","6418","0","0","0"
"1","","","","","","","3274","3274","3274","0.1","0.1","0.1","6549","6549","6549","0","0","0","6549","6549","6549","0.1","0.1","0.1","","","","","","","3274","3274","3274","0.05","0.05","0.05","6549","6549","6549","0.1","0.1","0.1","6549","6549","6549","0","0","0"
