"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MAX"
"0.6","","","","","","","1964","1964","1964","0.8","0.8","0.8","3929","3929","3929","0.9","0.9","0.9","3929","3929","3929","0.7","0.7","0.7","","","","","","","1964","1964","1964","0.725","0.725","0.725","3929","3929","3929","0.75","0.75","0.75","3929","3929","3929","0.925","0.925","0.925"
"0.62","","","","","","","","","","","","","4060","4060","4060","0.95","0.95","0.95","4060","4060","4060","0.65","0.65","0.65","","","","","","","","","","","","","4060","4060","4060","0.8","0.8","0.8","4060","4060","4060","0.975","0.975","0.975"
"0.64","","","","","","","2095","2095","2095","0.8625","0.8625","0.8625","4191","4191","4191","0.925","0.925","0.925","4191","4191","4191","0.625","0.625","0.625","","","","","","","2095","2095","2095","0.6875","0.6875","0.6875","4191","4191","4191","0.8","0.8","0.8","4191","4191","4191","0.975","0.975","0.975"
"0.6586826347305389","1440","1440","1440","0.9","0.9","0.9","","","","","","","","","","","","","","","","","","","1440","1440","1440","0.8666666686534882","0.8666666686534882","0.8666666686534882","","","","","","","","","","","","","","","","","",""
"0.66","","","","","","","","","","","","","4322","4322","4322","0.875","0.875","0.875","4322","4322","4322","0.575","0.575","0.575","","","","","","","","","","","","","4322","4322","4322","0.8","0.8","0.8","4322","4322","4322","0.925","0.925","0.925"
"0.68","","","","","","","2226","2226","2226","0.8375","0.8375","0.8375","4453","4453","4453","0.9","0.9","0.9","4453","4453","4453","0.4","0.4","0.4","","","","","","","2226","2226","2226","0.6625","0.6625","0.6625","4453","4453","4453","0.9","0.9","0.9","4453","4453","4453","0.95","0.95","0.95"
"0.7","","","","","","","","","","","","","4584","4584","4584","0.85","0.85","0.85","4584","4584","4584","0.55","0.55","0.55","","","","","","","","","","","","","4584","4584","4584","0.875","0.875","0.875","4584","4584","4584","0.85","0.85","0.85"
"0.718562874251497","1571","1571","1571","0.8333333313465119","0.8333333313465119","0.8333333313465119","","","","","","","","","","","","","","","","","","","1571","1571","1571","0.8333333343267441","0.8333333343267441","0.8333333343267441","","","","","","","","","","","","","","","","","",""
"0.72","","","","","","","2357","2357","2357","0.85","0.85","0.85","4715","4715","4715","0.875","0.875","0.875","4715","4715","4715","0.5","0.5","0.5","","","","","","","2357","2357","2357","0.7","0.7","0.7","4715","4715","4715","0.875","0.875","0.875","4715","4715","4715","0.85","0.85","0.85"
"0.74","","","","","","","","","","","","","4846","4846","4846","0.725","0.725","0.725","4846","4846","4846","0.675","0.675","0.675","","","","","","","","","","","","","4846","4846","4846","0.9","0.9","0.9","4846","4846","4846","0.875","0.875","0.875"
"0.76","","","","","","","2488","2488","2488","0.825","0.825","0.825","4977","4977","4977","0.875","0.875","0.875","4977","4977","4977","0.725","0.725","0.725","","","","","","","2488","2488","2488","0.85","0.85","0.85","4977","4977","4977","0.9","0.9","0.9","4977","4977","4977","0.95","0.95","0.95"
